"","salary","to_messages","deferral_payments","total_payments","exercised_stock_options","bonus","restricted_stock","shared_receipt_with_poi","restricted_stock_deferred","total_stock_value","expenses","loan_advances","from_messages","other","from_this_person_to_poi","director_fees","deferred_income","long_term_incentive","from_poi_to_this_person"
"68",329078,1184,77716,1321557,1637034,750000,969729,856,0,2606763,63791,0,52,972,15,0,0,1e+05,20
"69",0,894,0,0,757301,0,934065,720,0,1691366,0,0,13,0,1,0,0,0,54
"70",184899,0,0,807956,0,325000,207940,0,0,207940,22344,0,0,713,0,0,0,275000,0
"71",192008,0,73122,900585,83237,509870,235370,0,0,318607,50080,0,0,76547,0,0,-1042,0,0
"72",263413,1744,0,1318763,506765,9e+05,441096,1469,0,947861,228763,0,49,51587,0,0,-125000,0,52
"73",262663,0,0,1297461,187500,7e+05,480632,0,0,668132,48357,0,0,416441,0,0,-280000,150000,0
"74",0,0,0,0,759557,0,0,0,0,759557,0,0,0,0,0,0,0,0,0
"75",0,0,0,0,1753766,0,264013,0,-72419,1945360,0,0,0,0,0,0,0,0,0
"76",374125,4009,2157527,3859065,608750,1150000,524169,1847,-329825,803094,76169,0,1941,52382,61,0,-934484,983346,180
"77",278601,1858,0,2669589,0,1350000,252055,1593,0,252055,65907,0,27,1621,15,0,-833,974293,140
"78",0,0,0,0,9803,0,75838,0,0,85641,0,0,0,0,0,0,0,0,0
"79",199157,936,0,1414857,664461,350000,956775,723,0,1621236,23870,0,16,285414,8,0,0,556416,1
"80",0,672,0,0,59539,0,161602,127,0,221141,0,0,19,0,0,0,0,0,0
"81",96840,1671,0,111529,7509039,0,381285,1063,0,7890324,14689,0,221,0,49,0,0,0,204
"82",80818,0,684694,860136,1599641,0,0,0,0,1599641,0,0,0,874,0,0,0,93750,0
"83",213999,7991,2144013,5501630,953136,5249999,157569,5521,0,1110705,17355,0,484,210698,108,0,-2334434,0,228
"84",210692,904,0,2093263,1451869,750000,189041,599,0,1640910,25785,0,12,1568,3,0,0,1105218,106
"85",222093,266,16586,911453,4452476,0,365320,73,0,4817796,46145,0,41,426629,0,0,0,2e+05,0
"86",440698,0,0,2424083,0,1300000,1794412,0,0,1794412,55921,0,0,277464,0,0,-1386055,1736055,0
"87",0,57,181755,181755,343434,0,0,2,0,343434,0,0,13,0,0,0,0,0,0
"88",240189,2598,0,1639297,0,1250000,126027,2188,0,126027,35818,0,144,486,25,0,-262500,375304,199
"89",420636,905,0,505050,19794175,1750000,2748364,864,0,22542539,46950,0,18,174839,4,0,-3504386,1617011,42
"90",275101,4607,0,1086821,850010,4e+05,126027,583,0,976037,83585,0,14368,4669,171,0,0,323466,41
"91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",314288,102,0,1101393,117551,8e+05,378082,71,0,495633,27861,0,33,494,4,0,-41250,0,0
"93",94941,0,0,249787,5266578,0,2041016,0,0,7307594,18834,0,0,176,0,0,0,135836,0
"94",0,0,0,27942,0,0,0,0,0,0,27942,0,0,0,0,101250,-101250,0,0
"95",239502,0,0,1112087,0,5e+05,511734,0,0,511734,16514,0,0,356071,0,0,0,0,0
"96",1111258,3627,0,8682716,19250000,5600000,6843672,2042,0,26093672,29336,0,108,22122,30,0,0,1920000,88
"97",0,0,0,1279,0,0,0,0,0,0,1279,0,0,0,0,113784,-113784,0,0
"98",0,613,0,0,1426469,0,405999,583,0,1832468,0,0,25,0,18,0,0,0,39
"99",0,0,564348,564348,886231,0,208809,0,0,1095040,0,0,0,0,0,0,0,0,0
"100",6615,0,93585,1146658,0,0,0,0,0,0,0,0,0,680833,0,0,0,365625,0
"101",655037,898,0,1386690,28798,3e+05,0,728,0,28798,31653,4e+05,67,0,0,0,0,0,7
"102",0,0,0,362096,0,0,0,0,0,0,0,0,0,362096,0,0,0,0,0
"103",0,0,774401,774401,0,0,463261,0,-94556,368705,0,0,0,0,0,0,0,0,0
"104",404338,12754,0,1747522,2022048,1e+06,4131594,3639,0,6153642,41953,0,6759,1231,387,0,0,3e+05,140
"105",26704229,0,32083396,309886585,311764000,97343619,130322299,0,-7576788,434509511,5235198,83925000,0,42667589,0,1398517,-27992891,48521928,0
"106",0,517,0,0,1324578,0,560170,10,0,1884748,0,0,36,0,0,0,0,0,0
"107",259996,400,831299,1034395,1668260,325000,388167,337,0,2056427,0,0,30,1425,7,0,-583325,2e+05,22
"108",317543,0,0,1934359,1297049,450000,13847074,0,0,15144123,81353,0,0,1085463,0,0,0,0,0
"109",0,0,0,0,5127155,0,950730,0,0,6077885,0,0,0,0,0,0,0,0,0
"110",201955,2902,2869717,4484442,1729541,4175000,126027,1407,-126027,1729541,13868,0,2195,152,65,0,-3081055,304805,47
"111",248146,3136,187469,1576511,281073,6e+05,213063,2477,0,494136,116337,0,136,2401,6,0,0,422158,24
"112",0,0,0,83750,431750,0,44093,0,-44093,431750,0,0,0,0,0,108750,-25000,0,0
"113",0,0,0,84992,0,0,0,0,0,0,1413,0,0,0,0,108579,-25000,0,0
"114",0,1486,0,49288,0,0,0,761,0,0,49288,0,41,0,1,0,0,0,13
"115",0,0,178980,182466,257817,0,0,0,0,257817,3486,0,0,0,0,0,0,0,0
"116",0,719,0,0,754966,0,363428,589,0,1118394,0,0,34,0,5,0,0,0,35
"117",76399,0,51365,394475,4160672,1e+05,201483,0,-140264,4221891,8409,0,0,202052,0,0,-2e+05,156250,0
"118",262788,0,0,2368151,8191755,1e+06,126027,0,0,8317782,35812,0,0,374689,0,0,0,694862,0
"119",0,523,0,15456290,2604490,0,-2604490,463,15456290,0,0,0,29,137864,1,137864,0,0,0
"120",261809,312,0,477557,0,3e+05,307301,196,-307301,0,0,0,15,540,7,0,-159792,75000,29
"121",248017,1088,0,1054637,825464,5e+05,189041,23,0,1014505,600,0,125,1215,0,0,0,304805,0
"122",0,0,0,55097,192758,0,0,0,0,192758,55097,0,0,0,0,0,0,0,0
"123",229284,2192,0,812194,400478,4e+05,196983,395,0,597461,57580,0,45,330,2,0,0,125000,11
"124",231946,209,0,1566469,636246,850000,259907,178,0,896153,48405,0,44,60814,27,0,0,375304,10
"125",221003,176,0,319941,0,70000,0,114,0,0,28164,0,14,774,3,0,0,0,10
"126",158403,0,0,360300,8308552,0,3576206,0,0,11884758,53947,0,0,147950,0,0,0,0,0
"127",0,0,10259,91093,30766064,0,0,0,0,30766064,77978,0,0,2856,0,0,0,0,0
"128",250100,2572,0,1410464,1550019,6e+05,315068,1902,0,1865087,3475,0,63,473,14,0,0,556416,305
"129",492375,2181,0,550981,8831913,8e+05,1787380,1401,-1787380,8831913,51124,0,909,7482,20,0,-1284000,484000,64
"130",1060932,3275,6426990,17252530,10433518,2e+06,4188667,2979,0,14622185,86987,2e+06,21,7427621,6,0,-3367011,1617011,242
"131",261879,0,0,3123383,15364167,1e+06,8453763,0,0,23817930,32047,0,0,1829457,0,0,0,0,0
"132",239671,0,260455,827696,0,4e+05,145796,0,-82782,63014,129142,0,0,69,0,0,-201641,0,0
"133",0,2649,0,0,0,0,346663,571,0,346663,0,0,1061,0,38,0,0,0,35
"134",0,0,50591,50591,176378,0,0,0,0,176378,0,0,0,0,0,0,0,0,0
"135",304588,1755,0,3676340,940257,2500000,1392142,1604,0,2332399,95924,0,75,401481,37,0,0,374347,42
"136",309946,2374,0,1587421,671737,7e+05,1248318,2271,0,1920055,127017,0,61,150458,15,0,0,3e+05,53
"137",0,0,0,3750,0,0,0,0,0,0,0,0,0,0,0,125034,-121284,0,0
"138",85274,496,0,1979596,2165172,0,3654808,437,0,5819980,28093,0,19,1553729,5,0,0,312500,28
"139",247338,460,0,399393,591250,3e+05,576792,379,0,1168042,0,0,19,152055,11,0,-575000,275000,10
"140",349487,1522,85430,8407016,2070306,0,0,477,0,2070306,8211,0,230,2818454,0,0,0,5145434,8
"141",330546,3523,649584,2355702,2542813,9e+05,901657,2333,0,3444470,0,0,1053,400572,71,0,-694862,769862,156
"142",0,0,0,119292,0,0,0,0,0,0,0,0,0,0,0,119292,0,0,0
"143",415189,1892,0,1868758,0,1e+06,2502063,1585,0,2502063,30674,0,49,307895,12,0,-235000,350000,58
"144",265214,533,227449,1092663,3181250,6e+05,563798,300,0,3745048,0,0,29,0,0,0,0,0,0
"145",278601,865,0,875760,765920,8e+05,315068,772,0,1080988,96268,0,22,891,11,0,-3e+05,0,188
"146",274975,873,0,1272284,384728,6e+05,393818,874,0,778546,125978,0,16,200308,6,0,0,71023,52
